STANAME,STAID,latitude,longitude,mean_diff_winter,mean_diff_spring,mean_diff_summer,mean_diff_autumn,mean_diff_pers_winter_0,mean_diff_pers_spring_0,mean_diff_pers_summer_0,mean_diff_pers_autumn_0,mean_diff_pers_winter_1,mean_diff_pers_spring_1,mean_diff_pers_summer_1,mean_diff_pers_autumn_1
FALUN,2,+60:37:00,+015:37:00,2.698714165827458,1.773653173413293,0.8286594202898527,0.5649816849816842,0.009454032302898275,0.02119559527328169,0.027482482071586073,0.006943525881588786,-0.008557401665327966,8.585954388969025e-05,0.026947647009472348,-0.006368431583777825
LINKOEPING,4,+58:24:00,+015:31:59,1.222185185185185,0.6228985507246376,-0.293333333333333,-0.2010256410256419,-0.0019409773846461352,0.006152539197342099,0.015518773636790087,0.030879892914764718,-0.017543432221470655,-0.025661754393585298,0.061280314762323436,0.005076163481267695
LINKOEPING-MALMSLAETT,5,+58:24:00,+015:31:59,1.6578518518518517,1.5438768115942025,0.5804710144927565,0.41842490842490676,0.010167227906154227,0.0005733695918942654,0.014306688441152791,0.044398042251065896,-0.028353807096608768,-0.028960813242471253,0.044271442066195,0.015663198968862747
KARLSTAD-AIRPORT,7,+59:26:40,+013:20:15,1.6071851851851848,1.4527536231884062,0.3067028985507232,0.04846153846153989,-0.028462990919055315,-0.019967931542878518,0.007807392592116936,0.00577045086179192,0.0005459273931688818,0.006772604663689736,0.029694635176896755,0.002159065762063825
OESTERSUND,8,+63:10:59,+014:28:59,2.5700370370370376,0.9211231884057973,0.14170289855072404,0.655934065934066,0.005555293445512191,0.031391717167675054,-0.006031003828402799,0.007440295703495029,0.02614480887283144,0.02066334359911006,0.03601852072880723,-0.0024567018321592416
OESTERSUND-FROESOEN,9,+63:10:59,+014:28:59,2.576518518518519,0.9827173913043481,0.23590579710144866,0.6778754578754573,0.006028745968035677,0.031062426425397072,-0.0033139448675286575,0.0065799709082544925,0.027708904762222673,0.023125381270382817,0.03580145898683249,-0.00688167001240729
STOCKHOLM,10,+59:21:00,+018:03:00,1.678740740740741,1.7145652173913035,0.9838768115942038,0.6621978021978032,0.023320493688870996,0.005776886706944164,0.02942332554554927,0.048711218195408426,-0.02743561746861424,-0.03291107371209657,0.033172002557954945,-0.009782550411597027
GRAZ-UNIVERSITAET,12,+47:04:40,+015:26:56,1.7737407407407406,1.7474275362318856,1.8538043478260846,1.311355311355312,0.009883625520385565,-0.002689138862516268,-0.007831690518505924,0.012612247737187283,-0.021778010380797803,-0.05278787305929829,0.003876142511079184,0.026749126678369626
INNSBRUCK-UNIV,13,+47:15:36,+011:23:03,1.6516296296296296,1.662427536231883,1.8305434782608714,1.031831501831503,-0.024539806812114456,-0.034985724390228276,0.02827405245035557,0.01003504399435904,0.02749392691052281,-0.01540600494524968,0.017518869357261473,0.023007519210748634
SALZBURG-FLUGHAFEN,14,+47:47:21,+013:00:29,1.6353703703703708,1.6312318840579714,1.7823913043478257,0.9193040293040298,0.00154078370709394,-0.01433112315900521,0.027262127927627656,0.03200822370604846,-0.01074596821003204,-0.024476564696834964,0.024005310207024982,-0.004007436090711224
WIEN-HOHE WARTE,16,+48:14:54,+016:21:23,1.3037407407407406,1.4818115942028989,1.7698913043478264,0.8469597069597068,-0.008498940868102716,0.013964025821056115,-0.01363833949652814,-0.008664489400260615,-0.0011815548007828173,-0.03657238741992506,0.03500846091819309,0.04162051454051849
ZAGREB-GRIC,21,+45:49:00,+015:58:41,1.4067037037037036,1.4810144927536228,1.7701449275362293,0.8454945054945089,0.02157474442726872,-0.01125646249935185,-0.008746436144349595,0.02358184487271351,0.011370494802596267,0.010603169054837375,0.009157341581711614,0.01060856156853996
