STANAME,STAID,latitude,longitude,mean_diff_winter,mean_diff_spring,mean_diff_summer,mean_diff_autumn,mean_diff_pers_winter_0,mean_diff_pers_spring_0,mean_diff_pers_summer_0,mean_diff_pers_autumn_0,mean_diff_pers_winter_1,mean_diff_pers_spring_1,mean_diff_pers_summer_1,mean_diff_pers_autumn_1
VAEXJOE,1,+56:52:00,+014:48:00,1.2084106280193239,0.9641349637681174,0.4507375937810707,0.1504160531523029,0.0410208209374254,0.04229114703518309,0.02729184385658275,0.04546538834920228,-0.0720111209803517,-0.08123880554235029,-0.006381797542556873,-0.016390869590836753
FALUN,2,+60:37:00,+015:37:00,2.698714165827458,1.773653173413293,0.8286594202898527,0.5649816849816842,0.14832650681261778,-0.01551521121111307,0.045643437775849595,0.05934258381807879,-0.11646198132952994,-0.05151872151590211,0.02638982001218198,-0.04340119220579693
STENSELE,3,+65:04:00,+017:09:59,2.5359187181193175,1.0813405797101447,0.5367391304347819,0.41121372217526075,0.2291804561053244,-0.04145064776421459,-0.074593768260763,0.024197177428876396,0.011366728244341246,-0.04022012730456052,-0.09899273588902535,0.0012149333996170151
LINKOEPING,4,+58:24:00,+015:31:59,1.222185185185185,0.6228985507246376,-0.293333333333333,-0.2010256410256419,0.12460333093400673,-0.011807974337339938,0.0035754828927126894,0.08736469680646561,-0.013028467257559297,-0.014923303964150673,-0.03503960439940099,-0.08297493156873043
LINKOEPING-MALMSLAETT,5,+58:24:00,+015:31:59,1.6578518518518517,1.5438768115942025,0.5804710144927565,0.41842490842490676,0.13977714696054122,0.004194148575179545,-0.02318218532022883,0.0663213366143285,-0.02854765241525635,-0.05746007637062747,-0.05527418980236557,-0.08665839463980898
KARLSTAD,6,+59:21:00,+013:28:00,3.264877815093998,2.222246376811595,1.6767156220307342,1.1025697395029619,0.24215846486548004,0.04166372350281006,0.10123388763249731,0.12695105911678126,0.0877242146167187,0.1276771778451358,0.009507833086715645,-0.05261083507636384
KARLSTAD-AIRPORT,7,+59:26:40,+013:20:15,1.6071851851851848,1.4527536231884062,0.3067028985507232,0.04846153846153989,0.0795095554692336,-0.016947465609299984,-0.0029500859235186403,0.07016964203720136,-0.043670318032916114,-0.11800771977477197,-0.018835528000335767,-0.05430610302879209
OESTERSUND,8,+63:10:59,+014:28:59,2.5700370370370376,0.9211231884057973,0.14170289855072404,0.655934065934066,-0.017358035672638678,-0.01303245405740518,-0.08570515331218864,-0.055704921148347145,-0.013767453680265588,-0.042897647024411956,0.016855653989481384,-0.013916564505440418
OESTERSUND-FROESOEN,9,+63:10:59,+014:28:59,2.576518518518519,0.9827173913043481,0.23590579710144866,0.6778754578754573,-0.04601868732233147,-0.000699302205890142,-0.0572814534542773,-0.05629272778453435,0.007686049356012962,-0.03420755598064144,0.021750977875603282,-0.0040278613746164696
STOCKHOLM,10,+59:21:00,+018:03:00,1.678740740740741,1.7145652173913035,0.9838768115942038,0.6621978021978032,0.0365351834605455,-0.039395055371601546,0.003437976943381422,0.04415671891198569,-0.09056844806014087,-0.06906014130022908,-0.00647800789967265,-0.07677779068265268
GRAZ-UNIVERSITAET,12,+47:04:40,+015:26:56,1.7737407407407406,1.7474275362318856,1.8538043478260846,1.311355311355312,-0.057524143405401316,-0.04719194368646419,0.05410983702536617,0.06330103658224268,-0.011728164089538664,-0.01605038210492111,-0.013031091974154129,0.04463971510067618
INNSBRUCK-UNIV,13,+47:15:36,+011:23:03,1.6516296296296296,1.662427536231883,1.8305434782608714,1.031831501831503,-0.04019934696177944,-0.06048121749010215,-0.040817936899346756,0.04083766302305118,-0.055278180804180274,0.0021655366233943305,0.07773694019754769,0.049524373794851216
SALZBURG-FLUGHAFEN,14,+47:47:21,+013:00:29,1.6353703703703708,1.6312318840579714,1.7823913043478257,0.9193040293040298,-0.09814926059052842,-0.008772621016396937,0.027517689421019977,0.04832394143369308,0.03557406655581481,0.04451476341512032,0.053283210184765145,0.00895060645091353
WIEN-HOHE WARTE,16,+48:14:54,+016:21:23,1.3037407407407406,1.4818115942028989,1.7698913043478264,0.8469597069597068,-0.07253665404803979,0.11087529362544904,0.11024765569877035,0.08122253747819318,-0.005806932802048865,-0.03519446080254395,0.06320095563800346,-0.03498860098166493
ZAGREB-GRIC,21,+45:49:00,+015:58:41,1.4067037037037036,1.4810144927536228,1.7701449275362293,0.8454945054945089,-0.07675838301581499,0.008638460294632746,-0.0071339782385942,-0.014140193982435087,0.023478356349001216,0.013029250019864148,0.040427437917741234,-0.01272129488133987
PRAHA-KLEMENTINUM,27,+50:05:11,+014:24:59,1.5822592592592595,1.7313331580820073,1.7070652173913032,0.9306955364013536,-0.016484246295284954,0.038905232124578186,0.08904000831538406,0.03379374400203052,-0.051683832884052275,-0.06928206011808104,0.0177032542815895,-0.009208408034880154
SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS,30,+67:21:57,+026:37:59,2.144628578148561,1.4872227044372552,0.6214424441151429,0.9207623450203151,-0.029210091938139695,-0.06589125479104688,-0.023778678133081165,0.03671999529834536,0.04521743085949444,-0.0899065141180302,-0.1081787653206007,-0.09796315355730531
MARSEILLE OBS. PALAIS-LONCHAMP,31,+43:18:18,+005:23:48,0.9892364672364682,1.2925836120401364,1.6451700111482737,0.6690391659622428,-0.0602996498986536,-0.07556248307800927,-0.010406209100077553,-0.010768586371575028,-0.06645592639103862,-0.00821253858605071,0.03055338674513339,0.04637745281785586
BOURGES,32,+47:03:33,+002:21:34,0.7783333333333329,1.052572463768115,1.5003985507246362,0.8077655677655695,-0.07920554015328808,-0.06364712279110281,0.03144725787767967,0.03925682346706051,0.012818752166428738,-0.07177642009612169,-0.04770369367762404,-0.044751286026068614
TOULOUSE-BLAGNAC,33,+43:37:15,+001:22:44,0.951185185185186,1.444963768115942,1.9192028985507257,1.3793040293040288,-0.09723627737733434,-0.060718846597000956,-0.006672536212152081,0.0616975200451918,0.08724277743044102,-0.04109002830850914,0.01006408542696512,-0.029982331282800496
BORDEAUX-MERIGNAC,34,+44:49:50,-000:41:29,1.1406666666666672,1.693115942028987,2.0328260869565185,1.4561538461538444,-0.09380947075343919,-0.06387461223864443,-0.032491638132409226,-0.04497199131280833,0.07186960479126955,-0.07588824567031587,-0.03898625857029076,-0.010945206780440113
CHATEAUROUX DEOLS,35,+46:52:10,+001:44:26,0.977661905976368,1.096269365317342,1.686571552216268,0.9216908932384253,-0.023106447539868343,-0.03003266266883975,0.009715011583393315,0.07538748162392782,0.025534865867673496,-0.06359914806436395,-0.08444435874437742,-0.07244157197000194
PERPIGNAN,36,+42:44:13,+002:52:22,0.5051851851851836,0.7377536231884072,1.1916666666666664,0.7891208791208815,-0.03839786974131448,-0.10615036452312578,-0.06915484705380308,0.00480525299141951,0.05436158920851357,0.038788004855385146,0.06928619982884647,0.04118676465376064
PARIS - MONTSOURIS,38,+48:49:18,+002:20:16,1.1498148148148157,1.44336956521739,1.6763405797101427,0.9184249084249103,0.005938363089213425,-0.03337566631805424,-0.013483953521468276,0.04591357504942521,0.058056729444297725,-0.0812686467894933,-0.1318147876012898,-0.03997484735444644
MARIGNANE,39,+43:26:16,+005:12:57,0.7696296296296303,1.2332608695652159,1.6450362318840597,1.0096336996336994,-0.09205510120382679,-0.04186208311198039,0.03229394907661611,0.006495013935980401,0.02316304698890659,-0.032310949574826046,0.008771888135654283,-0.004216697557095885
BAMBERG,40,+49:52:31,+010:55:18,1.2450370370370372,1.2398550724637705,1.2469202898550726,0.6868131868131879,-0.07308577669631112,0.08545775735222227,0.10421519755470973,0.05462250935483247,-0.06539842043712932,-0.04484838864364875,0.06955423498526715,-0.04480655751457287
BERLIN-DAHLEM,41,+52:27:50,+013:18:06,1.2195185185185187,1.307101449275363,1.1322463768115973,0.5959706959706974,-0.0626465512607262,0.09325915064673282,0.042250838695642924,0.026055034598870166,-0.04567213988578651,-0.013873728412953628,0.027519323593928145,0.012828241519410009
BREMEN,42,+53:02:47,+008:47:57,1.150666666666666,1.1189130434782601,0.7825724637681155,0.4649084249084243,-0.05577636951346332,0.09060031157767837,0.028820805173198502,0.03121906253017953,0.01574304901539122,-0.028352380273224696,0.04104064485544649,0.03734049785187081
DRESDEN WAHNSDORF,43,+51:07:00,+013:40:59,1.3158148148148145,1.499782608695651,1.2881521739130406,0.5100732600732591,-0.08710308437889688,0.0792086141906443,0.07450044426288495,0.00021397820984665156,-0.022875919882220375,-0.0725398030085508,0.0463847877150779,0.02908902192315869
FRANKFURT,44,+50:02:47,+008:35:54,1.5305555555555557,1.6523550724637683,1.684927536231882,1.1803663003662983,-0.03930637814110892,0.11678010799225388,0.13255415336793552,0.04512794893097408,-0.031222961545421996,0.04196675329450457,0.0661657981777804,0.034308214418519827
HALLE,45,+51:30:52,+011:57:02,1.1158777200077026,1.173926918518239,0.8298333333333332,0.31088317294575596,-0.07683307785203702,0.05540688044494051,0.03806252065909592,-0.035302586999135466,-0.02494887323984193,-0.10144166338780294,-0.011621932757526987,0.014503177797835672
HAMBURG FUHLSBUETTEL,47,+53:38:06,+009:59:24,1.4522592592592594,1.536739130434782,1.2280072463768121,0.7333333333333325,-0.0667753204095638,0.10166373056096381,0.08962991416924164,0.06286595632473688,0.008342451819541795,0.027678785731846605,0.08118214122881665,0.04390655294832403
HOHENPEISSENBERG,48,+47:48:06,+011:00:42,1.168814814814815,1.5255072463768116,1.6864855072463758,0.7154578754578749,-0.032887659148812386,0.05208163114677651,0.05509159650996325,0.07602956679427092,0.02861366542990847,-0.028391151229820433,0.028433068368232513,0.04912464161810898
JENA STERNWARTE,49,+50:55:36,+011:35:03,1.291037037037037,1.4240579710144932,1.4122101449275348,0.6604761904761904,-0.07560921309440241,0.08594826670967856,0.12974253011203318,0.030984890157353742,-0.03255575508903316,-0.021264513254083673,0.09852729965634868,0.0706204108173219
KAISERSLAUTERN,50,+49:25:31,+007:44:12,1.3751014440864069,1.792917958089971,1.8681991473618176,0.9728806907378349,-0.009593536104317254,0.09496178065381333,0.10823994826107948,0.021505997425557668,0.02082880476560948,0.0663929630876241,0.08500355633486689,0.06874198289824657
KARLSRUHE,51,+49:02:21,+008:21:54,1.2507407407407407,1.2072101449275365,1.485797101449272,0.8887179487179502,0.0303763965998595,0.09630704767600928,0.10179077927603568,0.0694063585312579,0.024963887498101408,-0.0015726609359975245,0.063868940957047,0.05277277370456797
MUENCHEN,52,+48:09:51,+011:32:39,1.4878518518518515,1.4885869565217398,1.5448550724637649,0.6923809523809528,-0.0523317074458677,0.08087168962820898,0.03958273907273465,0.03817468477603674,-0.030680915803761793,-0.027597900834829752,0.04108247758980857,0.004605540579123774
MUENSTER,53,+51:57:02,+007:35:29,1.2900370370370369,0.9652898550724647,0.33402173913043853,-0.04571428571428626,0.23956658829220703,0.1310385206655624,-0.1123167880427286,-0.34779690112705514,-0.2314193659143382,-0.21836443658231816,-0.3270814170440981,-0.07857704874730792
POTSDAM,54,+52:23:00,+013:03:50,1.392296296296296,1.532427536231884,1.0942391304347794,0.5322710622710609,-0.11587523337811739,0.07919163411937395,0.04018778210766159,-0.015569157207067648,-0.06420443602659072,-0.07431887245527942,0.01881691423891201,-0.0029405062879974833
SCHWERIN,55,+53:38:39,+011:23:18,1.366814814814815,1.4822463768115952,1.122644927536232,0.6104395604395592,-0.08173049755106145,0.06255314287201744,0.04094451694551163,0.01055487870965792,-0.03143497265792759,-0.008247040406184626,0.02482938628593597,0.04325746447807614
ZUGSPITZE,58,+47:25:19,+010:59:12,0.6731851851851847,0.9827536231884055,1.3753260869565216,0.35534798534798506,-0.06155421354044129,0.08274917415882702,0.10669647500454808,0.07506091359026183,-0.022489677372446698,0.004997451263431153,0.16538615228067063,0.01997942460056147
BUDAPEST BELTERULET,64,+47:30:39,+019:01:41,0.9938148148148148,1.1209057971014484,1.3697463768115945,0.7557875457875429,-0.06310221766118841,0.033226253464441365,0.07252283130467065,0.04703097416297119,-0.0055040429566588145,-0.06462195706254788,-0.0031892781800115983,-0.06015798137423251
DALATANGI,65,+65:16:05,-013:34:32,0.9088020204543248,0.7296801508633142,0.7773330365444311,0.5378667505153212,0.00692272757489641,0.013678796921885549,-0.006128866559367556,-0.008397306528079528,0.018397208419602747,-0.06860335660260834,-0.1234910770764963,-0.06074579771040425
REYKJAVIK,66,+64:07:37,-021:54:09,0.6943004115226338,0.07872383252818027,0.6281723027375214,0.3456206756206752,-0.0160393461572732,-0.015485680110498199,-0.03723276526341702,-0.041031836501852346,-0.04269115843075037,-0.2084723127403871,-0.11484085150365021,-0.02233068252559103
STYKKISHOLMUR,67,+65:04:26,-022:44:00,0.9725664908231674,0.7329212121212123,0.92586044778486,0.5462777418659774,-0.06888476892273447,-0.037128550798364704,-0.08281371004970946,-0.10900179912342069,0.009701500446069738,-0.11978870636177526,-0.012131112819662407,0.0067722342333216634
TEIGARHORN,68,+64:40:33,-014:20:38,0.8520527191060134,0.4641915400840144,0.39519961890104227,0.4842091256100529,-0.0739723202516267,-0.0389047581054926,-0.08869697078102591,-0.016713050097062917,0.06425753868276832,-0.18841385164526178,-0.1398894422035559,-0.05171985818730942
VESTMANNAEYJAR,69,+63:24:00,-020:16:59,0.5997885532830678,0.12245112514000578,0.5446402691511381,0.40124542124542195,-0.06084164789892174,-0.09050779036061708,-0.00976698781674739,-0.11576205412012813,-0.009454391731895499,-0.14770788453792105,-0.0018294807332251755,-0.021030069664636702
ALEKSANDROV GAJ,70,+50:09:00,+048:33:00,2.2590659978074736,1.3943115942028985,0.9351510428435397,1.1415195149677908,0.1495726780799343,-0.003664307240151893,-0.013742906741991148,0.08525338964388228,0.05436131032825284,0.03735020592974327,-0.022422433242903585,-0.0704805035232513
ARXANGEL'SK,71,+64:30:00,+040:43:59,1.4193248546410793,1.2504347826086957,0.30255170228080885,0.6070847543261337,0.016413802448607854,-0.0259478534395497,0.01470657278604815,0.0651120588915662,0.015622654362636242,-0.031569176021643906,0.0009201432734076517,-0.04807262726391152
ARMAVIR,72,+44:58:59,+041:07:00,1.3017269472544857,0.7807246376811605,0.9949996769817169,0.7808109132247072,-0.04533535675809891,0.04970396281176904,0.06579680230081435,0.04135598197446589,-0.03006801109464299,0.02311604273627199,-0.030049601314657972,-0.062311401564536274
ASTRAXAN',73,+46:16:59,+047:58:59,1.8220908788143708,0.9721376811594187,0.7808913473211483,0.9514412024756869,0.02676493032194131,-0.03645573186578553,0.08451703390185507,0.05815396626003009,-0.06917336169055745,-0.05669787814786919,-0.04026331418901871,-0.04727199718105695
ELAT'MA,74,+54:57:00,+041:46:00,2.426336094805934,1.412644927536232,0.571808048903641,0.846222053808261,0.028369662666698145,0.06837787384082385,0.06519122685555179,0.0373634813931658,0.0043028000224399525,-0.0359774854235272,0.037990203216325014,6.135983180497121e-05
XOSEDA-XARD,75,+67:04:59,+059:22:59,0.24314929059947943,2.041377999524827,1.082619381633764,0.9506241608540469,-0.05938592522532918,-0.008130965321477385,0.035082882955824964,0.016759728027806384,0.033052220821700326,0.04081674711414814,0.004830876930860042,-0.011949533368807443
KALININGRAD,77,+54:42:00,+020:37:00,1.852865076422362,1.8171739130434785,1.0110021221719734,0.5444716201229944,-0.11579322536541269,-0.03314976717459015,0.05889306463816369,0.016930398301374546,-0.03578871741980231,0.013201921569629689,-0.062359954214361774,-0.01445477064598509
KANDALAKSHA,78,+67:09:00,+032:21:00,1.3179629629629623,1.428550724637681,0.3187167163065805,0.5520512820512821,0.07907752353349402,-0.06269950316749058,-0.04303652404496238,-0.023816102937795,-0.012142191031346769,-0.0598633534173076,-0.021751681921651504,-0.0481330463223045
KEM'-PORT,79,+64:58:59,+034:48:59,1.703390753169277,1.308514094601051,0.4433615371614472,0.7825526616506862,0.007633181942490113,-0.05417415161182245,-0.0023571723648074918,0.0033219224840539225,0.011013216022991521,-0.04814631606396029,0.026179389937280088,-0.07201401579197077
KURSK,80,+51:46:00,+036:10:00,2.290740740740741,1.8039855072463782,1.1267927100241124,0.9634798534798534,0.11885935326134119,0.03201041263040593,-0.01966113696309822,0.0748133895739903,-0.009003631448633524,-0.05726621229339219,-0.08371851428996244,-0.05489283177492232
KOJNAS,81,+64:45:00,+047:39:00,1.3897662462012406,1.4835745202788237,0.6762934433450418,0.9748313755210305,-0.04664924936963508,-0.07072031943494504,0.03302740849090425,-0.010391595090612675,-0.06947800647041401,-0.054056385041965305,0.12986667893919557,-0.04296023498358025
KOSTROMA,82,+57:43:59,+040:51:00,2.47558380861191,1.572717391304348,0.6739085312792099,0.9227194644436016,0.10701959867413438,0.06738343132366549,0.011899927009745747,-0.0116968330149972,-0.021478145015238703,0.03839896689716499,-0.00813702813039558,-0.03902820677755952
KOTLAS,83,+61:16:00,+046:43:00,1.9379916600752107,1.3442391304347827,0.30751342916384594,0.8126575723127447,0.06791476339899831,0.024792131784686557,0.023212643860311636,0.05886479464219964,-0.06380708130916996,-0.03928647120928847,0.0030323775600846867,-0.06278932135640979
KRASNOUFIMSK,84,+56:39:00,+057:46:59,1.4636947670788043,0.9789855072463771,0.4622991534255121,1.1051269420234935,0.049164131179662306,0.026879300396560748,0.12608983506952795,-0.012305558839683624,-0.004291143938316308,0.02008057849723764,0.011569104208805641,-0.06684998219320781
SANKT-PETERBURG,85,+59:58:00,+030:18:00,2.5029259259259256,1.8174637681159407,1.0240217391304327,0.9778133962811388,-0.09493748364708164,-0.06822282464226846,-0.03044713119092455,-0.05331674339151162,-0.03149290032381364,-0.0449238445103086,0.023818630116384656,-0.032255918787180794
MURMANSK,86,+68:58:00,+033:02:59,1.3803333333333345,1.3851811594202896,0.2844565217391306,0.8345054945054942,-0.022378319054269787,-0.09707986398158625,0.0015819475243726204,0.036133941607078536,-0.00922634506698605,-0.07857954563294765,0.0042854661413842575,-0.008928484466082789
MOSKVA VDNX,87,+55:49:59,+037:37:00,2.6269629629629625,1.5741304347826084,0.9340217391304328,0.8997069597069602,0.07698221014035389,0.050941342360737864,0.001543546062000811,0.007414526969308905,-0.025460253941640545,0.0016054825352846437,0.07124099933135923,-0.0012555810856946365
NAR'YAN-MAR,88,+67:37:59,+053:01:59,1.159565005620081,2.1867753623188406,0.7748951281760714,1.029393709738537,0.03023764319972355,0.02264812399542753,-0.02496063356399508,-0.02534279594083451,-0.032625069976714126,-0.0011091578481955894,-0.0038887999176450273,-0.04451132394227813
UFA,89,+54:43:00,+055:49:59,1.8960308341312473,1.1367753623188404,0.6550928278125276,1.3627118858153335,0.021512729822720213,0.03964495173538545,0.04451343105203745,-0.020838976142518426,0.01722488890115086,0.05948423178970871,-0.03232950420703882,-0.1590660767052353
ONEGA,90,+63:54:00,+038:07:00,1.7610111291508836,1.4232971014492752,0.6694048463166506,0.8496008589112041,0.07928917123598066,-0.016548751034383396,-0.02532119630360943,0.02322660306958634,0.03907061213769432,-0.006230743138923223,0.04586326988909173,-0.07685013684428493
ORENBURG,91,+51:40:59,+055:06:00,1.9651005231533532,1.1202536231884066,0.6620791300050506,1.2868561323733738,0.09189059952055664,-0.001565454682851237,0.016390675275441476,0.02137976994704786,0.02382842727265463,0.043367062580587055,0.005276628452138064,-0.06213923569678679
PAVELEÑ,92,+53:46:59,+039:15:00,2.263223110334014,1.4547463768115945,0.658109979480237,0.8221840189457055,0.1220181857740672,0.1038250545665808,-0.0015445842761890787,-0.022246057885302595,0.02348244706032112,-0.0070496146187281495,-0.017316104210790374,-0.07526768123234087
PETROPAVLOVSK,93,+54:49:59,+069:09:00,1.9833174603174584,1.3817908902691511,0.776586438923399,0.7480586080586078,0.06543803041390112,-0.09187180192034342,-0.040336483564600185,0.012108016504822123,-0.07908520794879563,-0.00805662378468319,0.008376047422465857,-0.09299336104124084
PECHORA,94,+65:07:00,+057:06:00,1.203736189167806,1.6706159420289857,0.3931212331195404,1.1218005759146077,-0.005616501505481112,0.041654184854644,0.009813313079398023,-0.026208767829887344,-0.11542742102127972,0.001359720126326959,0.04066550803523144,-0.08820862582005196
PSKOV,95,+57:49:00,+028:19:59,2.485925925925926,1.9528611632023791,0.8261398663662014,0.609951356814677,0.05784158746484981,-0.027745676571926826,-0.025274304250884724,0.005036730457454318,-0.030781301013377612,0.018716232188975213,0.047935182897819666,-0.045046263165408246
SARATOV,96,+51:34:00,+045:01:59,2.471671218239596,1.3261231884057985,0.7708570760950195,1.158025767336114,0.06240218891126179,0.04877744822087299,0.04213984317121664,0.0659032517698851,0.03723865136036118,-0.0379708758766437,0.007577314551618856,-0.0036349107454683393
