STANAME,STAID,latitude,longitude,mean_diff_winter,mean_diff_spring,mean_diff_summer,mean_diff_autumn,mean_diff_pers_winter,mean_diff_pers_spring,mean_diff_pers_summer,mean_diff_pers_autumn
FALUN,2,+60:37:00,+015:37:00,2.6874804969159922,1.7337784679089019,0.8287243878060959,0.536325628394593,0.06315764131094735,0.061148318062783334,0.01861189717788091,0.006611589524261567
LINKOEPING,4,+58:24:00,+015:31:59,1.2224393358876116,0.5907483758120939,-0.30204772613693365,-0.22389794113931938,-0.015487079332611405,-0.03093208296578558,-0.0119225236261483,-0.0397766878972829
LINKOEPING-MALMSLAETT,5,+58:24:00,+015:31:59,1.6581060025542782,1.5117266366816589,0.5717566216891559,0.3955526083112293,-0.00875755333020948,-0.0040106975714298615,-0.004559013292162887,-0.043519388993590015
KARLSTAD-AIRPORT,7,+59:26:40,+013:20:15,1.6066028097062577,1.42042103948026,0.3081309345327323,0.03138815207780876,0.052876483022327114,0.033522587596945715,-0.0044499464663696805,0.017067465771733837
OESTERSUND,8,+63:10:59,+014:28:59,2.565773946360154,0.8978560719640178,0.15366566716641294,0.6580977643046615,-0.01938170947238134,0.0498061914964329,0.04707580773647625,0.05755369582293678
OESTERSUND-FROESOEN,9,+63:10:59,+014:28:59,2.572255427841635,0.9594502748625686,0.24786856571713756,0.6800391562460528,-0.012592968471576553,0.05536276981292374,0.03521339977205576,0.052915530370995736
STOCKHOLM,10,+59:21:00,+018:03:00,1.6802401021711368,1.6792778610694654,0.9804835082458787,0.6569786535303779,0.06948915180560832,0.028088128324851747,-0.017295177424921062,-0.003009840049859284
GRAZ-UNIVERSITAET,12,+47:04:40,+015:26:56,1.736992337164751,1.7334032983508258,1.8496539230384812,1.2949008462801572,0.014345453518533932,-0.05002745479631461,-0.014731890654836788,-0.00041405168000427584
INNSBRUCK-UNIV,13,+47:15:36,+011:23:03,1.5950574712643677,1.6559532733633198,1.8182683658170902,1.0016079322975884,0.04310949094766427,0.04751826565376009,0.046114919654465014,-0.005554296119769155
SALZBURG-FLUGHAFEN,14,+47:47:21,+013:00:29,1.5885363984674332,1.65811344327836,1.783861819090454,0.9091827712517375,0.047191080442082346,-0.03216430694387526,0.02032133730113406,0.03927753104363109
WIEN-HOHE WARTE,16,+48:14:54,+016:21:23,1.2572681992337167,1.4820827086456756,1.760083708145924,0.8306997600101056,0.0535870679973333,-0.011229062060229748,0.013144260284440596,-0.023228926659071066
ZAGREB-GRIC,21,+45:49:00,+015:58:41,1.3907292464878669,1.484295352323839,1.7652848575712135,0.8353340911961613,-0.025700596563494053,-0.023143210142521232,0.015545290063465562,-0.023212765827362668
PRAHA-KLEMENTINUM,27,+50:05:11,+014:24:59,1.5430383141762452,1.7968715642178914,1.6964217891054467,0.9102175048877523,0.03253117669635418,0.013478486891212522,-0.00655809027376226,0.023002411212413865
SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS,30,+67:21:57,+026:37:59,2.1384306215712954,1.3918878718535472,0.5999431937403319,0.8826418448308493,-0.08857989573363255,0.07885903198951573,0.06186924727029823,0.021577066072031224
BOURGES,32,+47:03:33,+002:21:34,0.8920945083014056,1.2147876061969018,1.645234882558725,0.9525514715169887,0.003952765118672976,0.023234179667686608,0.007927646084455087,-0.00958140673022768
TOULOUSE-BLAGNAC,33,+43:37:15,+001:22:44,0.919641123882502,1.5038080959520226,2.0031334332833595,1.364884425918909,-0.04430400764424986,-0.00019786492708860566,-0.014512366435613058,-0.02057947384122079
BORDEAUX-MERIGNAC,34,+44:49:50,-000:41:29,1.1934482758620684,1.8301861569215383,2.2276636681659205,1.539418971832763,-0.05379274045121021,3.1418686443243274e-05,0.04645546020792901,-0.006918202903047589
PERPIGNAN,36,+42:44:13,+002:52:22,0.46811111111111003,0.7343540729635176,1.1542566216891572,0.7410534293292894,-0.017731159883244436,-0.06264003866067368,-0.009519769023905927,-0.015482468422784395
MARIGNANE,39,+43:26:16,+005:12:57,0.9442886334610465,1.402759870064969,1.815127436281859,1.159538966780346,0.004341329290393577,-0.010222879778648164,0.020254702394653174,-0.005331478149151784
BAMBERG,40,+49:52:31,+010:55:18,1.2169821200510855,1.2578785607196412,1.2595352323838114,0.6853909309081718,0.089550869389816,0.011430865343097433,0.0040653504105859955,0.11390862786956833
BERLIN-DAHLEM,41,+52:27:50,+013:18:06,1.1984597701149426,1.3076736631684156,1.1212156421789103,0.5828432487053199,0.038043535945298676,0.026222417250879437,0.034351714900911184,0.022666488421629053
BREMEN,42,+53:02:47,+008:47:57,1.1343844189016603,1.1241041979010475,0.7699337831084456,0.44936339522546476,0.04661412973152094,0.01272406316034281,0.02386376921947756,0.003873882663511721
DRESDEN WAHNSDORF,43,+51:07:00,+013:40:59,1.2802260536398467,1.5084682658670667,1.2840242378810593,0.4970481242895026,0.05054768827226899,0.029940398668011174,0.02545781648950723,0.022184268356501474
FRANKFURT,44,+50:02:47,+008:35:54,1.5053231162196676,1.6838155922038975,1.6902198900549728,1.1610243779209295,0.040774102504524574,0.023106628729948456,0.047416386788094414,0.08813263486459547
HAMBURG FUHLSBUETTEL,47,+53:38:06,+009:59:24,1.4344125159642396,1.5396789105447262,1.2234457771114435,0.7260287987874179,0.05256807289218491,-0.014893312719446354,0.06877369101399557,0.0474411748353618
HOHENPEISSENBERG,48,+47:48:06,+011:00:42,1.1042669220945085,1.545046226886556,1.679235382308848,0.6979828217759243,0.01721376969427268,0.013116209799043776,0.07651908788431439,0.015789017868090127
JENA STERNWARTE,49,+50:55:36,+011:35:03,1.2645223499361429,1.4345477261369322,1.3850637181409304,0.6389187823670586,0.11684110546007662,0.026308401279074016,0.045581176283094535,0.07602775374266459
KARLSRUHE,51,+49:02:21,+008:21:54,1.2288825031928483,1.2493940529735141,1.494444027986006,0.8793393962359488,0.03656879835579424,0.02504149905344631,0.0177977697948538,0.044005701190151306
MUENCHEN,52,+48:09:51,+011:32:39,1.4345491698595145,1.5139817591204405,1.5436519240379774,0.6773234811165842,0.058607224391714396,0.03111518299014166,0.06807149338383219,0.08909774756936935
POTSDAM,54,+52:23:00,+013:03:50,1.368051085568327,1.5245614692653664,1.0715617191404299,0.5127106227106211,0.008345795209918714,-0.01560448581139106,0.014393364989192907,0.02277442018994753
